dask_version,baron_8K_pancreas_rnaseq.zarr,hca_783K_blood_rnaseq.zarr,saunders_110K_brain_rnaseq.zarr,tenx_1.3M_brain_rnaseq.zarr,zheng_69K_pbmc_rnaseq.zarr
2024.1.0,271.55859375,664.796875,618.8828125,765.16015625,572.49609375
2024.1.1,250.52734375,677.79296875,628.58203125,760.42578125,563.51171875
2024.2.0,317.59765625,666.26953125,603.8203125,768.3125,655.83203125
2024.2.1,276.7109375,651.35546875,643.46484375,770.6015625,613.56640625
2024.3.0,299.78125,685.765625,604.12890625,773.00390625,576.00390625
2024.3.1,271.25,665.82421875,624.921875,787.55078125,639.3984375
2024.4.0,322.1875,696.93359375,641.55859375,763.58203125,625.6015625
2024.4.1,268.45703125,693.1328125,629.86328125,775.1953125,619.625
2024.4.2,277.06640625,683.25,594.15234375,736.60546875,591.25390625
2024.5.0,255.73828125,674.62890625,643.90625,775.13671875,639.22265625
2024.5.1,302.109375,692.015625,628.05859375,728.00390625,568.984375
2024.5.2,316.5859375,676.79296875,622.83203125,767.6484375,591.55859375
2024.6.0,290.56640625,681.90625,614.8984375,764.5625,611.359375
2024.6.1,265.265625,695.75,608.53515625,780.56640625,614.0859375
2024.6.2,271.109375,681.77734375,623.4140625,781.38671875,581.9765625
2024.7.0,299.16796875,714.16015625,603.8671875,751.47265625,600.9296875
2024.7.1,282.92578125,661.51953125,590.16015625,721.50390625,619.1328125
2024.8.0,391.7890625,9605.25390625,5980.3984375,36086.0234375,3593.65234375
2024.8.1,404.41796875,12292.5546875,5506.44921875,34362.85546875,2607.6171875
2024.8.2,369.11328125,11830.07421875,8463.734375,34108.7109375,3482.625
2024.9.0,455.35546875,11318.91796875,6550.24609375,35648.3828125,3782.1484375
2024.9.1,369.24609375,11453.67578125,5907.3203125,35755.296875,4381.921875
2024.10.0,389.69140625,11810.76171875,5197.0703125,34269.03515625,2683.08984375
2024.11.1,334.93359375,11494.69921875,5140.140625,34306.55859375,19618.03515625
2024.11.2,355.5859375,11857.6171875,5932.32421875,36206.41015625,6208.671875
2024.12.0,399.453125,11767.59375,5621.16015625,34948.9140625,3964.8046875
